Monoterpene_EZ,Monoterpene,Time_series,Time_series
Mx_data[][714].d,,tseries.d,tseries.d
137.1325073242;C10H16H+,,,
,27.4476,8/4/2019 20:30,43681.85417
,59.9296,8/4/2019 20:30,43681.85418
,48.3579,8/4/2019 20:30,43681.85419
,42.5222,8/4/2019 20:30,43681.8542
,37.6138,8/4/2019 20:30,43681.85421
,49.1625,8/4/2019 20:30,43681.85422
,42.2854,8/4/2019 20:30,43681.85424
,46.2679,8/4/2019 20:30,43681.85425
,48.512,8/4/2019 20:30,43681.85426
,55.9357,8/4/2019 20:30,43681.85427
,33.7529,8/4/2019 20:30,43681.85428
,32.8628,8/4/2019 20:30,43681.85429
,53.7174,8/4/2019 20:30,43681.85431
,52.5782,8/4/2019 20:30,43681.85432
,45.6251,8/4/2019 20:30,43681.85433
,46.5064,8/4/2019 20:30,43681.85434
,49.2501,8/4/2019 20:30,43681.85435
,61.3158,8/4/2019 20:30,43681.85436
,46.0242,8/4/2019 20:30,43681.85438
,46.3732,8/4/2019 20:30,43681.85439
,52.6824,8/4/2019 20:30,43681.8544
,41.5733,8/4/2019 20:30,43681.85441
,62.238,8/4/2019 20:30,43681.85442
,34.5728,8/4/2019 20:30,43681.85443
,49.7246,8/4/2019 20:30,43681.85444
,49.1271,8/4/2019 20:30,43681.85446
,49.6355,8/4/2019 20:30,43681.85447
,50.6356,8/4/2019 20:30,43681.85448
,42.3767,8/4/2019 20:30,43681.85449
,57.1743,8/4/2019 20:30,43681.8545
,52.0744,8/4/2019 20:30,43681.85451
,41.5384,8/4/2019 20:30,43681.85453
,49.8989,8/4/2019 20:30,43681.85454
,36.2234,8/4/2019 20:30,43681.85455
,52.0682,8/4/2019 20:30,43681.85456
,47.6749,8/4/2019 20:30,43681.85457
,43.8704,8/4/2019 20:30,43681.85458
,51.7531,8/4/2019 20:30,43681.85459
,57.3162,8/4/2019 20:30,43681.85461
,30.5454,8/4/2019 20:30,43681.85462
,41.1629,8/4/2019 20:30,43681.85463
,54.5616,8/4/2019 20:30,43681.85464
,44.4219,8/4/2019 20:30,43681.85465
,46.9677,8/4/2019 20:30,43681.85466
,51.2963,8/4/2019 20:30,43681.85468
,53.454,8/4/2019 20:30,43681.85469
,56.653,8/4/2019 20:30,43681.8547
,58.8029,8/4/2019 20:30,43681.85471
,41.6434,8/4/2019 20:30,43681.85472
,47.4338,8/4/2019 20:30,43681.85473
,50.5162,8/4/2019 20:30,43681.85475
,45.4535,8/4/2019 20:30,43681.85476
,39.4309,8/4/2019 20:30,43681.85477
,52.2125,8/4/2019 20:30,43681.85478
,57.7692,8/4/2019 20:30,43681.85479
,49.8847,8/4/2019 20:30,43681.8548
,31.4289,8/4/2019 20:30,43681.85481
,42.2863,8/4/2019 20:30,43681.85483
,42.7747,8/4/2019 20:30,43681.85484
,38.3922,8/4/2019 20:30,43681.85485
,53.0585,8/4/2019 20:31,43681.85486
,44.5781,8/4/2019 20:31,43681.85487
,37.9366,8/4/2019 20:31,43681.85488
,51.9861,8/4/2019 20:31,43681.8549
,51.3419,8/4/2019 20:31,43681.85491
,44.4614,8/4/2019 20:31,43681.85492
,52.0022,8/4/2019 20:31,43681.85493
,56.2893,8/4/2019 20:31,43681.85494
,50.6857,8/4/2019 20:31,43681.85495
