BlobID,Compound Name,Category,Label,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library ID,Library Match Factor,Library Reverse Match Factor,Library Name,Library Probability,Library RI,Library Formula
512,"4-benzoxazolol, 7-ethyl-2-methyl-",Unknown,,,FALSE,0,37.25002539,0.809999943,13313,104987,151959,707,805,mainlib,36.56000137,,C10H11NO2
553,"5-Dodecene, (Z)-",Unknown,,,FALSE,0,28.33335935,0.519999964,11216,105042,20168,817,859,mainlib,3.49000001,1176,C12H24
552,"Benzene, heptyl-",Unknown,,,FALSE,0,34.75002557,0.659999954,11339,108381,65201,816,892,mainlib,48.15000153,1368,C13H20
537,"1H-Indene, 2,3-dihydro-1,1,3-trimethyl-3-phenyl-",Unknown,,,FALSE,0,45.50002482,0.779999945,11834,108852,196517,839,852,mainlib,73.38999939,1714,C18H20
680,2-Octanol,Unknown,,,FALSE,0,21.00002653,0.729999949,7069,108861,16978,830,844,mainlib,20.79999924,998,C8H18O
941,Heptanal,Natural Marine,,marine,TRUE,0,16.50002685,2.339999836,4564,110233,37042,841,871,mainlib,74.62999725,901,C7H14O
769,1-Benzoyl-2-methylenehydrazine,Unknown,,,FALSE,0,19.25002665,0.989999931,6067,111299,78998,612,656,mainlib,20.22999954,,C8H8N2O
780,"Cyclopropane, 1-hexyl-2-methyl-",Unknown,,,FALSE,0,20.50002657,2.089999854,5698,112198,22308,853,875,mainlib,6.980000019,963,C10H20
726,Enanthamide,Unknown,,,FALSE,0,34.08335895,1.589999889,6598,114771,29848,816,842,mainlib,33.68999863,,C7H15NO
794,"4-Nonenal, (E)-",Unknown,,,FALSE,0,24.91669292,0.969999932,5780,115234,2884,766,858,mainlib,32.93999863,1105,C9H16O
463,"Benzene, pentyl-",Natural Marine,,maybe_marine_contam,FALSE,0,27.33335942,0.639999955,18271,115315,60648,882,887,mainlib,19.65999985,1157,C11H16
586,"3,5-Decadiene, 2,2-dimethyl-, (Z,Z)-",Unknown,,,FALSE,0,31.41669247,0.849999941,8719,115811,26114,730,764,mainlib,32.54999924,,C12H22
695,1-Phenoxypropan-2-ol,Marine Contaminant,,m_not_marine,TRUE,0,30.58335919,0.99999993,6944,118699,67106,840,869,mainlib,46.08000183,1246,C9H12O2
1018,"Benzoic acid, 2-(hydroxymethyl)-",Unknown,,,FALSE,0,34.16669228,2.219999845,4176,119813,81110,870,882,mainlib,32.72999954,,C8H8O3
884,"3-(Diethylamino)-1,2-propanediol",Unknown,,,FALSE,0,19.16669333,1.499999895,5000,121891,55695,626,669,mainlib,23.29000092,,C7H17NO2
991,d-Mannose,Unknown,,,FALSE,0,26.33335949,0.949999934,4423,124702,41111,602,614,mainlib,16.34000015,,C6H12O6
461,Nonane,Unknown,,,FALSE,0,16.50002685,0.459999968,18101,125272,7675,874,886,mainlib,25.98999977,900,C9H20
1119,"Cyclopentanecarbonitrile, 2-imino-",Unknown,,,FALSE,0,40.33335851,1.819999873,3408,125300,83999,648,675,mainlib,32.41999817,,C6H8N2
480,"Azetidine, 3-methyl-3-phenyl-",Unknown,,m_not_marine,TRUE,0,20.08335993,0.699999951,15096,125702,98334,848,913,mainlib,61.79000092,,C10H13N
